acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.012,0.045,9.810,0.01,-0.02,0.00,idle
0.015,0.048,9.805,0.00,0.01,0.02,idle
0.010,0.040,9.812,-0.01,0.00,-0.01,idle
0.018,0.042,9.798,0.02,0.01,0.00,idle
0.011,0.046,9.815,-0.02,-0.01,0.01,idle
2.450,1.210,8.120,1.45,-0.85,0.42,wave
3.120,1.850,7.650,2.10,-1.15,0.65,wave
2.890,1.540,7.980,1.80,-0.95,0.52,wave
3.450,2.100,7.120,2.45,-1.35,0.78,wave
2.150,0.980,8.450,1.20,-0.68,0.31,wave
5.890,6.120,3.450,4.85,5.12,-3.85,shake
6.450,7.100,2.100,5.95,6.18,-4.92,shake
5.120,5.850,4.120,4.12,4.85,-3.12,shake
6.890,7.950,1.650,6.45,6.85,-5.45,shake
5.450,6.450,3.100,4.65,5.45,-3.65,shake
